thread_id,customer_text,brand_text
21542,@AmazonHelp Good morning Amazon idiots... third day in a row... today's delivery guys number 70385 67720....can u idiots call him and ask him to deliver... Bunch of incompetetive morons...get this sorted out today...n don't use empathy n sympathy,"@120701 I get your concern, please check for an email from our team here: https://t.co/NTkrxpsbHJ. ^PS"
21544,@AmazonHelp Are you guys nuts? How can u ask me to wait... bloddy idiots from past three days I am waiting...what r u guys? Stupid assholes? U don't have integrity,"@120701 registered email account post submitting the form here: https://t.co/GIJyeYqKE0, can you check for the following 2/3 ^MJ"
21579,@AmazonHelp Sure..so if compensation is not available...can I name and shame you guys...because u guys are pathetic..can u quickly tell me ur name and employee ID and also ur escalation point of contact..because I am not sitting quiet,@120701 on this as feedback with the team internally for a review. 2/2 ^OS
21901,"@AmazonHelp can I pls have a direct email address for someone with a brain for your love film by post service,online help proving impossible",@120772 Hi Tim- For all queries you can reach us directly via the below link:  https://t.co/JzP7hlA23B Thanks. ^NV
21931,@AmazonHelp Have you gone deeper into the issue or it's just an automated instant reply over Twitter?? @115851,@120777 Kindly reply to the email received from us and we shall get back to you on this. ^SH
21970,@AmazonHelp Grata. Procuro parceria para divulgar pq meus leitores não tem costume de ler ebook. Se tem como anunciar os livros ou divulgar via Amazon,"@120782 Anna Lou, você pode também entrar em contato com o departamento de R. P utilizando este link: https://t.co/4x5oTTr6Zb. ^VM"
22518,"@AmazonHelp You have all the information you need - just reply here thanks.  People get in touch this way because that is what they prefer - no forms, no phone calls, so please respond.","@120918 I have escalated your feedback about ""Please Let Me Go"" for correction. If we can help w/ anything else, let us know! ^KN 2/2"
22541,@AmazonHelp They are saying that amazon took the courier scanned it and returned.. they have no idea on how the box is empty,@120924 and they should be able to help you out. ^SG(2/2)
22542,Hi I returned my order and I followed the proper procedure but got back an empty dabba from post office. @115850 @AmazonHelp PFA photos https://t.co/DmP0UrEttf,@120924 I get your concern if you have self returned the package kindly connect with the courier as they'll be able to help you with 1/2^SH
23963,@AmazonHelp No. I’ve signed in and it still says due 31st,@121152 Sorry to hear that. We'll be happy to look into that for you. Please reach out to us here: https://t.co/JzP7hlA23B ^RS
24001,@115850 hi why you end no emi cost on PS4 I was about to purchase today😑😬🙄🤔😒😔😕☹️,@121161 here: https://t.co/KcSbMgxRgY. Please let us know if you need any further clarification on this. 2/2 ^SY
24481,@AmazonHelp All 3 say they are arriving today but none are dispatched yet so I don’t see how they can be https://t.co/gC5LWihN4U,"@121279 As we're unable to view your account via Twitter,pls contact here:https://t.co/JzP7hlA23B so we can look into this.^KM"
24976,@AmazonHelp I am receiving the same mails... Amazon is not at all cooperating..,"@121404 For details, you may refer here: https://t.co/AEcmUNz7HR. 2/2 ^SB"
24986,@AmazonHelp order 406-5346056-8286767 I want a refund for the product. https://t.co/CKTsoBPMgb,@121404 Sincere apologies for the mess. Please fill this form: https://t.co/beaaDm0muc so we could get this sorted soon. 1/2 ^RS
25015,@AmazonHelp  Amazon is just making me fool from last 10 days ...is there any system,@121408 Sorry for any inconvenience. Could you confirm sharing your details in the link provided above by ^HK ? ^KA
25839,Help @120474 I registered for the morrissey presale but on event page it says I'm not. Concerned for 10am! https://t.co/dHq5rt33yP,"@121644 Hi, did you receive a confirmation message when you registered? Did you access using the same log in details? ^TS"
25886,"Amazonのバーチャルダッシュ消せないのかな？

寝ぼけて誤タップしたらどうするんだ💧",@121655 アマゾンです。バーチャルダッシュは追加・削除が可能です。こちらをご参照ください。https://t.co/NFr3UGL2Yx ET
25885,"@AmazonHelp ご丁寧にありがとうございます。
無事に消せました👍🏻",@121655 とんでもないことでございます。これからもhttps://t.co/st4oU5QbhPをどうぞよろしくお願いいたします。TN
25923,@AmazonHelp I never received an alert that my Amazon pay balance was about to expire.,"@121656 We send an alert 15 and 30 days prior to the expiration to your registered email ID, please check. ^HA"
25927,@115850 reg. Ord 404-7091504-9405917. You should have alerted me regarding the deduction to my Amazon Pay Balance before doing so. #sucks,@121656 I'm sorry but I couldn't follow. Could you please elaborate on your concern? ^HA
26871,@AmazonHelp すみません、あと一点だけお伺いしたいのですが、印刷した返送先住所を梱包箱に貼り付けて、返品受付IDは中に入れる形で良いのですか？,@121885 ご理解のとおりでございます。TN
26941,"@AmazonHelp Yep! Podcasts seem to work differently from music. No option to add podcast episodes to @115888 playlist. So can’t listen on Echo, shame.","@121897 Ok, sorry Lauren. ^KM"
27862,@120834 @AmazonHelp As a trial I had Glasgow WORKING - but Brighton is a non-starter as others have reported - and indeed yourself.  #terribleservice,@122098 Sorry to hear that. Please reach out here: https://t.co/adGZMh2kgt and we'll look into it for you. ^RS
27877,@AmazonHelp I purchased redmi4 few function of phone not working and camera quality not good. Hence don't want to replace this with same product.,"@122101 here: https://t.co/2t6DQoUmNZ, we'll help look into it. 2/2 ^AP"
28429,@AmazonHelp .to wait 1-2 days. Then nothing happens. I am stuck spending an hour re explaining it each time,@122219 Was the item in stock when you placed the order? Is it currently still showing as pending shipment? ^NV
28433,"@AmazonHelp Mache mir nur Gedanken das es Freitag nicht an kommt ,
Mit welchen Dienst versendet ihr es ? Wenn ich fragen darf!?","@122220 Der, der theoretisch am schnellsten bei dir ist. Der Transportdienst wird erst kurz vor Versand festgelegt. ^AN"
28437,@AmazonHelp versendet ihr heute Call of Duty WW2 oder erst morgen ! Weil das Spiel Freitag raus kommt 🙈😂 hoffe es kommt pünktlich an bei mir,"@122220 Wir versenden so, dass es am Freitag bei dir zugestellt werden kann. Liebe Grüße ^AN"
28885,"@AmazonHelp I am getting same response past 2 months. I am asking for status, not a messages that u sent !",@122363 Please respond to the same email you've received from the Social Media team and we'll check this for you. ^HN
28958,@115850 y there ll be quiz when u can't keep up with prizes @1843 and giving lengthy of explanation,"@122371 Sorry for any hassles, Kaushik. We do have prizes for the contests, could you elaborate on your concern? ^MS"
29664,"@AmazonHelp thanks DJ, that did allow me to play music now using spotify as if it was a bluetooth speaker but I was really hoping to link it for voice control, etc. Could it be that my wife is the echo account owner? I feel like that shouldn't have an effect tho...","@122516 Thanks for the additional information, Eric! We'd like to take a look into this with you. When you get a moment, please contact us via chat or phone: https://t.co/hApLpMlfHN ^SW"
29944,"2 months later, 5 phone calls, speaking to an upper level manager and I still haven't received access to my @115821 account. COOL GUYS.",@122588 I'm sorry to hear that Heather. Have you been given any advice since the issue began? ^DC
29954,@116316 wieviele leute können gleichzeitig bei einem amazon prime abo die videos ansehen ?,@122589 Es können zwei Titel gleichzeitig geschaut werden. Aber nicht der gleiche Titel parallel auf zwei Geräten. ^AN
30008,@120919 @115821 Dealing with them from the B2B side is honestly the worst. I have an issue open with them that is 20months old. Amz staff caused this issue.,"@122602 Hi, has a follow up been arranged for you? What is the most recent info we provided? ^TS"
31311,@115850 I didn't receive my order yet. Delivery date is 30th Oct. Order I'd 408-2620150-2527537. Customer care commitment is not met.,"@122905 Please don't provide your order details, we consider it to be personal information. Our page is visible to public. (2/2)^RI"
31316,@AmazonHelp Your team has contacted saying the same 24-48 hr delivery policy for order delivery. So I need to wait another 2 days. For prime your deliver fast but not for me even for your mistake.,"@122905 I'm sorry about the stretch. However, please be assured that we're working on your concern and will get back (1/2) ^MO"
31365,Nintendo Switch en promo sur @120533 = Commandée pour mon anniv 😍😍🤪,@122913 😍 Quand est-ce que vous allez la recevoir ? ^FA
31384,@115830 I've received a message on one of my orders that says my item could not be delivered requires action and to contact you any ideas?,@122917 I'm so sorry! Do you have an active order? What does the tracking show for it here? https://t.co/aaDyEz1VgE ^TK
31401,@AmazonHelp No,@122922 Oh no! Sometimes parcels are returned to us as undeliverable. You can read more about it here: https://t.co/pIA6sR0X1L ^TG
32314,@115850 Promotional cash back not credited even after refund date been crossed https://t.co/YxIGHWvVmb order# 404-4707947-1460330☹️😡,"@123158 Please don't provide your order details, we consider it to be personal info. Our page is visible to the public.  2/2 ^PR"
33203,"@AmazonHelp And you people fool your customers, very shameful.",@122493 to you with an update soon. Request you to wait. 2/2 ^NK
33231,"@115850 email sent on 13th Oct, still haven't recd reply....wondering how do u calculate TAT of 6 hrs?","@123350 My apologies about the delay, Pratik. Could you let us know what went wrong so that we can assist you accordingly? ^NK"
33234,"@AmazonHelp What happened? No solution, customer support not helping, email support not replying. Where shud I complain?",@123350 us the details using the link provided by 'SU' &amp; I will look into the issue right away. (2/2)^SF
34476,Hey @115830 I pre-ordered @123473 's book Slobberknocker on Sept 11th for release on Oct 19th and still nothing. Any status update?,@123472 Oh no! We'd like to help in any way we can. What's the latest status for your order here: https://t.co/aaDyEz1VgE ^NM
34479,"アマゾンさんからコンビニに配達完了してるはずなんだけどメールが来ない(^L^)こんなの初めて…

おーい",@123474 失礼いたします。メッセージセンターより認証キーが届いていないか、ご確認ください。https://t.co/qxvc47GM40   確認できない場合は、カスタマーサービスにご連絡ください。https://t.co/J6YEizo6qC   SM
34490,"@AmazonHelp sur la page en question je n'ai pas ""signaler un probleme"", uniquement ""contacter le vendeur"" (site .ca)",@123476 Avez-vous déjà essayé de contacter notre SAV? ^SB
34500,"@AmazonHelp I am getting ""We're sorry but we encountered an error when processing your request. Please try again"" When payi with 2 dif cards",@123477 Oh no! We'd like to help troubleshoot with you. Do you mind telling us which Amazon site you use? (.com/.ca/.co.uk/.de) Thanks! ^NM
34503,"fico impressionado com a rapidez da @117086 nos envios dos pedidos, comprei ontem e já tá em transporte 💙 amo demais",@123478 Eitaa quais livros comprou 😍? ^MB
34514,"@AmazonHelp Yes, it is",@123480 Happy to hear it. We'd like to document your experience and look into your options here: https://t.co/qy3J24VGxb ^AF
34521,@115830 will UK pre orders for cod ww2 get pre load codes soon ?,"@123482 Hello, Tom! We would love to hep! What system are you purchasing the game for? ^JZ"
34575,"Sagt mal @116316, wann gibt es endlich Amazon Prime in der Schweiz?","@123489 Dazu haben wir keine Informationen. Wir bemühen uns natürlich, den Service für internationale Kunden weiter auszubauen. ^DS"
35147,@115850 This is quality of the grinder that was delivered just now.Broken grinder stone and scratched product all over.Mere refnd engh??? https://t.co/FyCq2DSjnE,@123653 Truly sorry about the experience. We certainly did not expect this to happen. Please contact us (1/2) ^MO
36500,"@AmazonHelp I did but while waiting for response can someone Please look into this. Tried calling kindergarten support and barely understood the CSR, which was extremely frustrating.",@123961 We aren't able to see accounts w/ Twitter so thank you for e-mailing us! Please keep us posted on the results of your e-mail. ^DD
36569,got an @115821 notification that my package couldn’t reach my front door/turns out they were just lazy and never came to my house bc my gate guard said no one tried to get through so i really can’t trust anyone and delivery men are lazy @AmazonHelp i’m a freaking prime member,@123969 Sorry to hear this Caleigh!Pleasee get in touch here: https://t.co/hApLpMlfHN and we'll look into this for you. ^RL
37602,@AmazonHelp It was scheduled for today. No one came for pick up of shipment. This is height of carelessness. @115850,@124163 Sorry to know that the pick up hasn't been done yet. We'd like to have a closer look at it. Write to us (1/2) ^MO
38178,@AmazonHelp É só me enviarem que acaba o problema!,"@124295 Bruno, os nossos pedidos são cobrados uma vez que entram em processo de envio, o valor que se apresenta no seu cartão 1/3"
38815,@AmazonHelp contact me 9897327895,"@120265 Being a social media platform, we will not have access to your account details, Mahraj. ^KS 1/3"
39555,@AmazonHelp I was wondering is there no finder integration in Amazon Drive client (e.g. right click to share) ? Is it coming?,"@124646 Hi, Do you mean this function? https://t.co/2sDZNvx9xI Kind regards, ^SI"
39564,@AmazonHelp Thank you very much for the speedy reply! Is US site the same as the UK site? I can't see what digital credit/ pantry credit I have sadly 😔,@124649 Sorry about that! You can find out how to view your credits in the UK here: https://t.co/dOCC80P082 ^DD
21437,@115850 Best trick by amozon first send damage priduct and after arrange self pick up 95 % people not ready for self return. Mind blowing amazon,"@120261 I do get your concern, however, please respond to the email you've received from us and we'll check this. ^HN"
40429,"@AmazonHelp
ordered a product with delivery address j&amp;k....but ATS is trying to deliver it to Assam....track id-79244084290","@124860 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^VN(2/2)"
43250,"@AmazonHelp Am gleichen Tag noch, sonderlich hilfreich war es jetzt auch nicht, Paket (durch den Feiertag) immer noch nicht da, das einzig ärgerliche jetzt ist natürlich, dass die Zustellungsdaten nicht aktualisiert werden. Seit Samstag keinerlei Infos.","@125584 Abhängig vom Standort des Paketzentrums kann es sein, dass es sich leider erst morgen wieder bewegt. Gruß ^MH"
43656,"昨日頼んだAmazonさんが…先程届く…早すぎません⁈
((((；ﾟДﾟ)))))))","@125686 |ω・).｡oO(早すぎましたか？？？）
Amazonをご利用いただき、誠にありがとうございます！
またのご利用お待ちしております(*´︶`*) TY"
43662,@AmazonHelp Olha aí!!! https://t.co/ftd2uK475D,@125688 Que legal! Te desejamos uma leitura maravilhosa Ishmael! ^JJ
43679,TE AMO POR SIEMPRE @116875 https://t.co/aEcopzKt6Z,"@116874 ¡También te amamos, Quirino! 😍 Nos alegra que tu pedido haya llegado hoy. Cuéntanos, ¿qué has recibido? ^LC https://t.co/q019mpi3W2"
43714,@AmazonHelp ありがとうございます。期待しています。長い間キンドル愛用してますが、日本語と英語のシンクができないのと、アメリカから日本語書籍がかえないので残念ｄｗす,"@125699 わざわざリプライありがとうございます。
以前よりKindleをご愛顧いただけているとのことで、嬉しく思います。
今回のご要望含め、ご満足いただけるサービスを提供できますよう頑張ってまいります。TY"
43720,"Le dedicaré este fin al catálogo de @123813, a ver qué tal. 😎📺",@125701 ¡Hola Gustavo! Esperamos que encuentres excelentes opciones✨😀 ¡Saludos!  ^PC
45529,@AmazonHelp Your amazon.in Order #402-0091077-1944373,"@126078 I'm sorry you had issues with the return pick up of your order, please fill this form: https://t.co/beaaDm0muc and (1/3)^SU"
45533,@AmazonHelp Thanks! I need to use the item tomorrow so I can't really return the rest of it. Is there any way to get a partial refund?,@126079 We'd like to take a look into some available options with you. Please reach out to us here: https://t.co/hApLpMlfHN ^TH
46544,"@115821: ""Order now to receive by Wednesday!""....Confirmation email: ""Your package will arrive on Thursday."" Why do you keep lying to me?!","@126335 I'm sorry for the delay! For more information about the guaranteed delivery timer, visit us here: https://t.co/6KRr54ujYJ ^TK"
46564,Huge thank you to 😁@AmazonHelp   my new remote for my Firestick ❤ arrived...it worked and I'm back in business  #HappyWeeyin,"@126342 We weren't ""remotely"" worried! LOL! 😁 So glad you are now back in business now! ^FR"
47851,@AmazonHelp AMZL US,@126701 Thank you! I would like someone from our Social Media team look into this. Please reach out to us: https://t.co/6q5bUmmmyY. ^AL
47862,"@117795 Got my order. 1 bag right, other 1 not mine. Missing the chilled/frozen stuff.  chips/no dip, crackers/no cheese . :(","@126703 I'm sorry we let you down. We'd like to go over your options, please call us here: https://t.co/hApLpMlfHN ^CO"
47871,Any account specialist @115821.ca willing to help??? #callingforhelp #amazoncanada #9yroldgift #davidsmithfromamazon???,"@126706 Thank you for reaching out to us here on social media! Without giving account info, will you let us know what's going on? ^TG"
47907,"@AmazonHelp thanks for trying at least u were more helpful, thanks 😩","@126706 If you don't receive an e-mail from an Account Specialist by the 24-hour mark, let us know. ^MG"
47927,"Furious with @AmazonHelp &amp; @115817. Why does the customer have to pay for their lack of communication?
#WhereIsMyPackage? 😡😡😡😡😡","@126719 So sorry for the frustration! Without providing any account information, can you tell us more about the issue? ^AD"
49126,"@AmazonHelp 2/2 carrier who delivered my previous item which i never received, to a random address. Will be disappointed if this happens again tomorrow",@126974 I'm sorry your order was delivered to the wrong address! We'd like to make sure you get the new order so keep us posted! ^DD
49901,"@115821 #Amazon shipping #fraud not limited 2 #prime, paid for 1-day shipping on Mon, package scheduled to arrive next Mon. UPS says on time",@127175 One-Day Shipping refers to transit time once the item ships! You can learn more about shipping here: https://t.co/dNN4JZF2ku ^ME
49934,@AmazonHelp How do I know? I've been out since 7am so no idea how long it's been sat in full view of the street.,@127184 That information can be found on your order page. You can access that via this link:  https://t.co/aaDyEz1VgE ^MW
49937,@AmazonHelp Does this help? https://t.co/maMZLnsdfv,@127184 Thanks! We'd like to look into this with you in real time. Please contact us via phone/chat here: https://t.co/JzP7hlA23B ^AJ
49952,"@AmazonHelp Didn’t get any mail on this, already checked","@127178 If you haven't received any correspondence, request you to share your (1/2)^SQ"
51605,@AmazonHelp I've called support and it's been moved to an 'account specialist' just like last time as apparently I didn't call when this happened before (which I did three times). Just very frustrated this happens whenever I try and place an order.,@127582 I'm sorry for the frustration. Please keep an eye on your e-mail for a response from the account specialist.  ^HM
52169,"@AmazonHelp Eso lo hice el dia lunes por que supuestamente hubo un problema con mi pago y me mandaron ese correo ese mismo dia, y se supone que me llegaria hoy y por el momento aun no llego y mi cuenta sigue bloqueada, marque para la solucion del pago y si lo resolvieron",@127729 Comprendo. ¿Has logrado ponerte en contacto con el transportista encargado de realizar la entrega para confirmar los datos de seguimiento? ^DB
52234,@AmazonHelp Can you let me know what the issue is? Do you need any info?,@127745 I'd like to have a member from our support team lend you a hand with this; please contact us here: https://t.co/hApLpM3Ejd ^WM
52242,"@AmazonHelp This Monday, and no, I had no answers",@127747 Have you received any e-mails to your spam or junk folder? ^DD
52251,@AmazonHelp Having some issues with your jobs portal using social login with LinkedIn.,@127750 Thanks for reaching out! You can report technical issues by clicking Give Us Feedback at the bottom of the site page. ^TK
